BASE            FILTER  SEEING  RATE_BBCR  TOTAL_BBCR  EXPTIME  RMS    ERASED  TOTAL  CRonSTAR  FT400_new  LastStretch  SS_removed
SUPA0046908_1   W-C-RC  0.81    1.10       527         480      57.26  1       570    43        0          18           11
SUPA0046908_10  W-C-RC  0.81    1.04       498         480      57.26  0       503    5         0          6            9
SUPA0046908_2   W-C-RC  0.81    0.88       421         480      53.61  0       443    22        0          1            4
SUPA0046908_3   W-C-RC  0.81    0.88       420         480      53.66  1       435    15        1          5            3
SUPA0046908_4   W-C-RC  0.81    0.92       442         480      54.51  0       496    54        0          10           6
SUPA0046908_5   W-C-RC  0.81    0.93       445         480      58.08  1       457    12        5          8            2
SUPA0046908_6   W-C-RC  0.81    0.42       201         480      58.44  0       203    2         1          3            4
SUPA0046908_7   W-C-RC  0.81    0.83       399         480      54.88  0       411    12        0          5            3
SUPA0046908_8   W-C-RC  0.81    0.90       434         480      54.10  0       469    35        1          23           6
SUPA0046908_9   W-C-RC  0.81    0.93       445         480      55.60  1       477    32        1          12           1
SUPA0046909_1   W-C-RC  0.80    0.91       436         480      57.30  0       479    43        0          23           4
SUPA0046909_10  W-C-RC  0.80    1.02       492         480      57.30  0       499    7         0          7            3
SUPA0046909_2   W-C-RC  0.80    0.91       435         480      53.73  0       460    25        0          2            5
SUPA0046909_3   W-C-RC  0.80    0.91       439         480      53.61  0       448    9         0          5            10
SUPA0046909_4   W-C-RC  0.80    0.86       412         480      54.55  0       449    37        0          7            3
SUPA0046909_5   W-C-RC  0.80    1.02       488         480      58.31  1       506    18        2          12           12
SUPA0046909_6   W-C-RC  0.80    0.50       238         480      58.66  0       239    1         0          3            5
SUPA0046909_7   W-C-RC  0.80    0.92       442         480      54.98  0       463    21        0          8            2
SUPA0046909_8   W-C-RC  0.80    0.94       449         480      54.16  1       485    36        0          21           3
SUPA0046909_9   W-C-RC  0.80    1.05       504         480      55.63  0       532    28        0          20           14
SUPA0046910_1   W-C-RC  0.66    1.26       607         480      56.47  7       683    76        0          16           60
SUPA0046910_10  W-C-RC  0.66    1.20       574         480      56.47  21      584    10        0          11           71
SUPA0046910_2   W-C-RC  0.66    1.05       502         480      52.96  9       530    28        0          6            30
SUPA0046910_3   W-C-RC  0.66    1.03       496         480      53.26  22      505    9         0          9            63
SUPA0046910_4   W-C-RC  0.66    1.04       497         480      53.88  21      535    38        0          6            83
SUPA0046910_5   W-C-RC  0.66    1.23       591         480      57.26  29      601    10        4          12           95
SUPA0046910_6   W-C-RC  0.66    0.62       300         480      57.74  16      306    6         0          6            79
SUPA0046910_7   W-C-RC  0.66    1.00       480         480      54.14  13      496    16        0          7            58
SUPA0046910_8   W-C-RC  0.66    1.11       535         480      53.15  25      574    39        0          26           51
SUPA0046910_9   W-C-RC  0.66    1.25       598         480      54.85  24      620    22        1          18           93
SUPA0046911_1   W-C-RC  0.81    1.05       502         480      56.60  0       527    25        0          20           3
SUPA0046911_10  W-C-RC  0.81    0.93       447         480      56.60  0       454    7         0          9            5
SUPA0046911_2   W-C-RC  0.81    0.98       472         480      53.91  0       490    18        0          6            1
SUPA0046911_3   W-C-RC  0.81    0.87       419         480      53.40  0       435    16        1          9            1
SUPA0046911_4   W-C-RC  0.81    0.82       394         480      54.26  0       424    30        0          5            2
SUPA0046911_5   W-C-RC  0.81    1.02       488         480      58.10  0       506    18        0          5            4
SUPA0046911_6   W-C-RC  0.81    0.49       237         480      58.47  0       249    12        1          2            5
SUPA0046911_7   W-C-RC  0.81    1.00       479         480      54.79  0       507    28        0          8            5
SUPA0046911_8   W-C-RC  0.81    0.90       434         480      53.42  0       457    23        0          16           1
SUPA0046911_9   W-C-RC  0.81    0.90       430         480      54.42  0       448    18        1          14           6
SUPA0046912_1   W-C-RC  0.77    1.13       284         250      39.67  0       289    5         1          17           1
SUPA0046912_10  W-C-RC  0.77    1.04       261         250      39.67  0       264    3         0          3            2
SUPA0046912_2   W-C-RC  0.77    0.99       249         250      37.41  0       260    11        0          4            3
SUPA0046912_3   W-C-RC  0.77    0.88       221         250      37.25  0       244    23        2          2            1
SUPA0046912_4   W-C-RC  0.77    0.98       246         250      37.79  0       258    12        0          2            1
SUPA0046912_5   W-C-RC  0.77    0.95       238         250      41.06  0       257    19        0          0            0
SUPA0046912_6   W-C-RC  0.77    0.45       113         250      38.90  0       129    16        0          0            0
SUPA0046912_7   W-C-RC  0.77    0.92       231         250      38.13  0       242    11        0          5            0
SUPA0046912_8   W-C-RC  0.77    1.01       254         250      37.15  0       268    14        0          22           0
SUPA0046912_9   W-C-RC  0.77    0.99       248         250      37.87  0       257    9         0          9            0
SUPA0046913_1   W-C-RC  1.62    0.86       413         480      60.05  0       433    20        0          29           0
SUPA0046913_10  W-C-RC  1.62    0.97       468         480      60.05  0       470    2         0          11           1
SUPA0046913_2   W-C-RC  1.62    0.78       376         480      56.44  0       385    9         0          6            0
SUPA0046913_3   W-C-RC  1.62    0.71       341         480      56.02  0       366    25        0          6            1
SUPA0046913_4   W-C-RC  1.62    0.86       413         480      56.73  0       420    7         0          8            1
SUPA0046913_5   W-C-RC  1.62    0.86       415         480      62.08  0       441    26        2          6            0
SUPA0046913_6   W-C-RC  1.62    0.42       204         480      61.14  0       223    19        0          3            0
SUPA0046913_7   W-C-RC  1.62    0.90       431         480      57.28  0       471    40        1          6            1
SUPA0046913_8   W-C-RC  1.62    0.94       452         480      55.79  0       471    19        0          21           1
SUPA0046913_9   W-C-RC  1.62    0.97       464         480      56.89  0       474    10        1          10           0
