BASE            FILTER  SEEING  RATE_BBCR  TOTAL_BBCR  EXPTIME  RMS    ERASED  TOTAL  CRonSTAR  FT400_new  LastStretch  SS_removed
SUPA0121405_1   W-S-I+  0.80    1.08       259         240      55.30  0       268    9         0          5            6
SUPA0121405_10  W-S-I+  0.80    1.15       275         240      55.30  0       276    1         0          7            4
SUPA0121405_2   W-S-I+  0.80    1.13       271         240      52.93  0       276    5         0          3            4
SUPA0121405_3   W-S-I+  0.80    1.33       319         240      52.83  0       323    4         1          8            4
SUPA0121405_4   W-S-I+  0.80    1.18       284         240      53.07  0       289    5         0          5            4
SUPA0121405_5   W-S-I+  0.80    1.27       304         240      55.31  0       329    25        1          6            3
SUPA0121405_6   W-S-I+  0.80    1.05       252         240      54.76  0       255    3         1          9            2
SUPA0121405_7   W-S-I+  0.80    1.30       312         240      52.83  0       317    5         0          8            0
SUPA0121405_8   W-S-I+  0.80    1.20       289         240      52.70  0       294    5         0          7            8
SUPA0121405_9   W-S-I+  0.80    1.30       313         240      52.98  0       316    3         0          5            4
SUPA0121406_1   W-S-I+  0.73    1.18       283         240      55.02  1       287    4         1          3            2
SUPA0121406_10  W-S-I+  0.73    1.34       322         240      55.02  1       332    10        0          9            5
SUPA0121406_2   W-S-I+  0.73    1.09       262         240      52.84  1       280    18        0          7            6
SUPA0121406_3   W-S-I+  0.73    1.13       272         240      52.77  1       280    8         1          11           6
SUPA0121406_4   W-S-I+  0.73    1.23       295         240      52.85  0       302    7         0          8            7
SUPA0121406_5   W-S-I+  0.73    1.37       328         240      55.08  0       337    9         0          5            4
SUPA0121406_6   W-S-I+  0.73    1.18       284         240      54.57  0       293    9         0          4            4
SUPA0121406_7   W-S-I+  0.73    1.19       285         240      52.72  0       315    30        0          5            4
SUPA0121406_8   W-S-I+  0.73    1.23       295         240      52.56  2       305    10        0          7            6
SUPA0121406_9   W-S-I+  0.73    1.13       271         240      52.70  2       283    12        0          4            8
SUPA0121407_1   W-S-I+  0.81    1.25       301         240      54.61  0       301    0         0          4            11
SUPA0121407_10  W-S-I+  0.81    1.38       330         240      54.61  0       333    3         0          7            3
SUPA0121407_2   W-S-I+  0.81    1.10       265         240      52.23  0       276    11        0          10           3
SUPA0121407_3   W-S-I+  0.81    1.09       261         240      52.15  0       263    2         0          7            5
SUPA0121407_4   W-S-I+  0.81    1.27       306         240      52.38  0       308    2         0          5            1
SUPA0121407_5   W-S-I+  0.81    1.41       338         240      54.55  0       342    4         0          10           5
SUPA0121407_6   W-S-I+  0.81    1.16       279         240      53.86  0       287    8         1          10           8
SUPA0121407_7   W-S-I+  0.81    1.20       288         240      52.03  0       306    18        0          3            0
SUPA0121407_8   W-S-I+  0.81    1.47       352         240      52.05  0       359    7         1          12           4
SUPA0121407_9   W-S-I+  0.81    1.30       313         240      52.24  0       320    7         0          10           5
SUPA0121408_1   W-S-I+  0.82    1.15       276         240      53.99  0       276    0         0          3            5
SUPA0121408_10  W-S-I+  0.82    1.27       304         240      53.99  0       304    0         1          13           6
SUPA0121408_2   W-S-I+  0.82    1.36       326         240      51.70  0       337    11        2          6            4
SUPA0121408_3   W-S-I+  0.82    1.10       263         240      51.65  0       263    0         0          5            6
SUPA0121408_4   W-S-I+  0.82    1.26       302         240      51.89  0       305    3         0          7            4
SUPA0121408_5   W-S-I+  0.82    1.21       291         240      54.01  0       292    1         0          7            2
SUPA0121408_6   W-S-I+  0.82    1.33       319         240      53.48  0       325    6         0          5            3
SUPA0121408_8   W-S-I+  0.82    1.10       265         240      51.50  0       268    3         0          9            3
SUPA0121408_9   W-S-I+  0.82    1.13       272         240      51.73  0       278    6         0          6            3
SUPA0121409_1   W-S-I+  0.85    1.10       265         240      54.92  0       269    4         0          5            3
SUPA0121409_10  W-S-I+  0.85    1.13       272         240      54.92  0       279    7         0          4            6
SUPA0121409_2   W-S-I+  0.85    1.19       285         240      52.62  0       292    7         0          6            1
SUPA0121409_3   W-S-I+  0.85    1.18       284         240      52.58  0       292    8         0          4            3
SUPA0121409_4   W-S-I+  0.85    1.28       308         240      52.65  0       310    2         0          6            1
