# ref_ra ref_dec ref_z bpz_z bpz_ra bpz_dec bpz_SeqNr bpz_z_min bpz_z_max bpz_odds bpz_I bpz_R bpz_Ierr bpz_Rerr bpz_I_ok bpz_R_ok bpz_allok dist
186.68038749999997 21.878498055555557 0.4007 0.41 186.68031629153228 21.878357526578473 73007 0.272 0.548 1.0 20.37250328063965 20.905956268310547 0.0025086200330406427 0.004141265992075205 True True True 0.5590434014482442
186.67984166666665 21.883571666666665 0.4249 0.49 186.6798044811069 21.883392845681666 74639 0.344 0.636 1.0 20.172292709350586 20.735151290893555 0.0020482842810451984 0.003733262186869979 True True True 0.655631226397867
186.6829833333333 21.870525277777777 0.432 0.45 186.68288897885498 21.870395242229556 70469 0.308 0.592 1.0 20.73657989501953 21.2906436920166 0.0036767227575182915 0.006646315101534128 True True True 0.5643697228846829
186.68666249999998 21.869310277777778 0.4319 0.53 186.68655645886815 21.869189406809046 70228 0.38 0.68 1.0 20.95883560180664 21.426273345947266 0.0043479385785758495 0.007009110413491726 True True True 0.5611189059769487
186.68812499999999 21.880453055555556 0.4279 0.43 186.68803707064822 21.880318748890957 73800 0.29 0.57 1.0 19.88686752319336 20.48635482788086 0.001623957883566618 0.003669090336188674 True True True 0.5657393650492852
186.69264166666665 21.85700027777778 0.4346 0.45 186.6925443852331 21.856881214062362 64558 0.308 0.592 1.0 19.868396759033203 20.463964462280273 0.0017840060172602534 0.004132810980081558 True True True 0.537934193300177
186.69132916666666 21.896194444444443 0.4339 0.46 186.6912700977241 21.896024695262568 78075 0.317 0.603 1.0 20.67392349243164 21.245973587036133 0.0034077856689691544 0.005636686459183693 True True True 0.6421604876877404
186.69994999999997 21.849641666666667 0.4375 0.43 186.69984957183974 21.84954002474227 64456 0.29 0.57 1.0 20.34921646118164 20.933414459228516 0.003910766914486885 0.007035709917545319 True True True 0.4964854848963762
186.69790833333332 21.86862 0.4333 0.41 186.6978022531766 21.868528708070855 69721 0.272 0.548 1.0 21.4992618560791 22.035934448242188 0.00778706232085824 0.012974544428288937 True True True 0.48333897421464267
186.69630416666664 21.88607222222222 0.4386 0.45 186.6962094820353 21.885950560649533 75400 0.308 0.592 1.0 20.802146911621094 21.389657974243164 0.0037092387210577726 0.0071915010921657085 True True True 0.5402519115678924
186.7018125 21.85887138888889 0.4328 0.46 186.7017061123235 21.85877639295556 67615 0.317 0.603 1.0 20.06523323059082 20.677318572998047 0.00234327488578856 0.004277247469872236 True True True 0.493260235590993
186.69656249999997 21.89400861111111 0.4473 0.38 186.69648780382983 21.89384976915718 77501 0.245 0.515 1.0 20.618473052978516 20.99910545349121 0.0034996105823665857 0.005043647717684507 True True True 0.6238964253292716
186.7024083333333 21.86864472222222 0.4326 0.43 186.70230705425075 21.868555219815967 69815 0.29 0.57 1.0 20.920124053955078 21.494277954101562 0.004591573029756546 0.009583214297890663 True True True 0.46723792780007156
186.70744166666665 21.857982777777778 0.4336 0.42 186.70734731372002 21.857890670236834 66671 0.281 0.559 1.0 20.052698135375977 20.641958236694336 0.0021961156744509935 0.004143052268773317 True True True 0.45752991878106086
186.71011249999998 21.848544999999998 0.4303 0.49 186.7100302005496 21.84845382191687 63406 0.344 0.636 1.0 21.84228515625 22.355920791625977 0.010325668379664421 0.017782358452677727 True True True 0.4282118742333838
186.7083875 21.861890833333334 0.4272 0.52 186.7082861074641 21.861793116267044 68399 0.371 0.669 1.0 19.449132919311523 19.9412899017334 0.001289060921408236 0.0021340709645301104 True True True 0.48837542671945555
186.71337916666664 21.853372500000003 0.4319 0.47 186.71330052706156 21.853301398976793 65688 0.326 0.614 1.0 19.75284767150879 20.318058013916016 0.0015277712373062968 0.0029287189245224 True True True 0.3668236174294018
186.709625 21.882701944444445 0.4392 0.51 186.709514302872 21.882553315154897 74204 0.362 0.658 1.0 20.07061767578125 20.57796859741211 0.002292252378538251 0.0045065684244036674 True True True 0.6504188440245213
186.71731666666665 21.84951583333333 0.4317 0.42 186.71723890168525 21.849419685074594 64152 0.281 0.559 1.0 20.677001953125 21.230375289916992 0.003551127854734659 0.006663946900516748 True True True 0.4328130690944669
186.71783333333332 21.8465575 0.4357 0.44 186.7177553774214 21.846475026348354 63311 0.299 0.581 1.0 20.52507781982422 21.12924575805664 0.003800468984991312 0.005330770742148161 True True True 0.3949759674815516
186.70979166666663 21.8959275 0.4379 0.47 186.7097026586721 21.895785066309898 77482 0.326 0.614 1.0 19.8984375 20.539342880249023 0.001974900485947728 0.003777523059397936 True True True 0.5927223616783275
186.7133958333333 21.881389722222224 0.4363 0.44 186.71328575461868 21.881309199363262 73018 0.299 0.581 1.0 19.36622428894043 19.99056625366211 0.001444743713364005 0.0028130372520536184 True True True 0.46825224631216844
186.7128 21.89301861111111 0.4422 0.5 186.71269702846755 21.892906872991755 76669 0.353 0.647 1.0 19.555212020874023 20.28092384338379 0.0016691857017576694 0.0023612799122929573 True True True 0.5292653585437124
186.71807916666666 21.862684166666668 0.4384 0.46 186.71799192472508 21.862602709906295 68440 0.317 0.603 1.0 20.048368453979492 20.667461395263672 0.0024359356611967087 0.0035262792371213436 True True True 0.4134663763157277
186.7189625 21.859546666666667 0.4332 0.45 186.71886188826946 21.85945536736405 67080 0.308 0.592 1.0 21.181337356567383 21.762502670288086 0.005487388931214809 0.011037585325539112 True True True 0.47014070429375965
186.71858333333333 21.867178055555556 0.4439 0.71 186.71849121225046 21.86710771019054 70128 0.542 0.878 1.0 20.300703048706055 21.56197738647461 0.0025908825919032097 0.01019437424838543 True True True 0.3985692394467747
