Mbpz_ra Mbpz_dec zspec_ra zspec_dec zspec_z Mbpz_z Mbpz_odds d2d_arcsec Mbpz_r_ok lt6pix_apart Mbpz_odds_gtHALF
186.47766265884945 22.04425980046211 186.4488083333333 22.070484166666667 0.42216 0.39 0.4651 134.83789376879696 False False False
186.91622437038495 22.043276211981013 186.9142458333333 22.04405416666667 0.43486 0.39 0.46511 7.171513435250122 False False False
186.93397387484006 22.042741433023856 186.93884166666663 22.045324444444446 0.4601 0.39 0.4651 18.716367710993854 False False False
186.98266353313733 21.91052121631944 186.98969999999997 21.911295 0.459 0.39 0.46452 23.665994867663333 False False False
186.97818299015688 21.75554515894085 186.99559166666663 21.754919166666667 0.43667 0.36 0.31266 58.251129677505155 True False False
186.97818299015688 21.75554515894085 186.99786249999997 21.763073055555555 0.54456 0.36 0.31266 71.16081665312595 True False False
186.99094769540318 21.8195946016651 187.01287916666664 21.8163375 0.42458 0.39 0.4651 74.22977293473622 False False False
186.96079338088546 21.720967330440246 186.99656666666664 21.69770611111111 0.30266 0.47 0.41499 146.0426399501682 False False False
186.8629588859359 22.09405998621701 186.86567499999998 22.094121944444442 0.57339 0.39 0.4651 9.062731384262491 False False False
186.98969658784304 21.872222330978325 186.99672083333328 21.875787777777777 0.4585 0.84 0.80722 26.747719834712523 True False True
186.9882549102405 21.876856803137688 187.00034999999997 21.88234138888889 0.45808 0.39 0.4651 44.972041198250785 False False False
186.97295129732953 21.99180454583874 186.99160833333332 22.001592777777777 0.43607 0.39 0.4651 71.55416412775419 False False False
186.47766265884945 22.04425980046211 186.4620708333333 22.057735 0.00035 0.39 0.4651 71.1326315107347 False False False
186.56645869875962 21.715728072370787 186.5663583333333 21.715508055555556 0.07322 0.39 0.4651 0.8602538339444307 False True False
186.60149754204969 21.94244948589132 186.60147916666665 21.94249111111111 -0.00041 0.39 0.4651 0.1619266143444297 False True False
186.8541332191087 21.81210484265481 186.85415833333332 21.812376944444445 -2e-05 0.39 0.4651 0.9831561739329687 False True False
186.89394027044924 22.075836671741627 186.9162791666666 22.10293111111111 2.59212 0.39 0.4651 122.7470584209645 False False False
186.90846200496443 22.065162426412083 186.91944166666664 22.077488055555555 0.03209 0.39 0.4651 57.53837452039683 False False False
186.92523747337228 22.043144586737522 186.92519999999996 22.042933055555558 0.16054 0.39 0.4651 0.771710212816916 False True False
186.9149558162496 22.059940160415533 186.95474999999996 22.10508888888889 0.06637 0.39 0.4651 209.85790832569103 False False False
186.9149558162496 22.059940160415533 186.96054166666661 22.106576111111114 0.69473 0.39 0.4651 226.52168475482716 False False False
186.93397387484006 22.042741433023856 186.9676208333333 22.073876944444443 0.06581 0.39 0.4651 158.63980975147817 False False False
186.9391426113297 21.686273469109675 186.9679708333333 21.67096111111111 2.33051 0.35 0.7494 111.08379720376772 True False True
186.97818299015688 21.75554515894085 186.99224166666664 21.761601944444443 0.54461 0.36 0.31266 51.816406213550515 True False False
186.97972930475086 21.9793826572929 186.9997583333333 21.98855111111111 0.57298 0.39 0.4651 74.56480272334937 False False False
186.87013872858398 21.631891888396446 186.8697 21.63205 0.1399 0.39 0.4651 1.5746617586435772 False False False
186.8362520141568 21.635325069895195 186.83627 21.63535 0.1173 0.39 0.4651 0.10806154053110392 False True False
186.79386561215495 21.605751093824136 186.79402 21.60571 0.0913 0.39 0.4651 0.5375051772304762 False True False
186.83271790945108 21.974920068740467 186.83275 21.97492 -0.0001 0.33 0.48078 0.10713303874360121 False True False
186.43144790875874 21.846416938710032 186.43147 21.84649 0.0007 0.39 0.4651 0.273182761694657 False True False
186.45040717557524 22.008512055518793 186.42987 22.01973 0.3795 0.39 0.4651 79.55574986016956 False False False
