#      name         ra(2000.0)  dec(2000.0)   g   gerr   r   rerr   i   ierr    z     zerr
J122650.1+215030 12 26 50.105 +21 50 30.022 22.75 0.03 20.61 0.03 20.28 0.03 0.43826 0.00129
J122651.2+214910 12 26 51.248 +21 49 10.591 23.08 0.03 21.12 0.03 20.83 0.03 0.45012 0.00029
J122649.9+215119 12 26 49.973 +21 51 19.351 23.60 0.03 21.53 0.03 21.22 0.03 0.43051 0.00100
J122652.2+214956 12 26 52.280 +21 49 56.500 22.00 0.03 19.85 0.03 19.54 0.03 0.43471 0.00028
J122653.3+214833 12 26 53.317 +21 48 33.993 23.36 0.03 21.41 0.03 21.09 0.03 0.43430 0.00122
J122653.0+214917 12 26 53.027 +21 49 17.561 22.81 0.03 20.72 0.03 20.45 0.03 0.43969 0.00045
J122653.3+214909 12 26 53.335 +21 49 09.211 23.41 0.03 21.36 0.03 21.08 0.03 0.44070 0.00023
J122653.0+215001 12 26 53.013 +21 50 01.609 23.77 0.04 21.73 0.03 21.42 0.03 0.44504 0.00036
J122654.4+214900 12 26 54.430 +21 49 00.559 22.67 0.03 20.45 0.03 20.13 0.03 0.43568 0.00088
J122655.0+214933 12 26 55.001 +21 49 33.347 22.29 0.03 20.11 0.03 19.79 0.03 0.43313 0.00072
J122655.8+214906 12 26 55.851 +21 49 06.039 23.79 0.03 21.70 0.03 21.44 0.03 0.43230 0.00041
J122656.0+214934 12 26 56.096 +21 49 34.191 22.34 0.03 20.35 0.03 20.05 0.03 0.43858 0.00018
J122655.6+215021 12 26 55.649 +21 50 21.721 22.38 0.03 20.40 0.03 20.16 0.03 0.43661 0.00055
J122655.6+215106 12 26 55.649 +21 51 06.229 23.04 0.03 21.10 0.03 20.86 0.03 0.43678 0.00015
J122656.8+214934 12 26 56.884 +21 49 34.562 23.53 0.03 21.42 0.03 21.11 0.03 0.43152 0.00021
J122656.2+215039 12 26 56.290 +21 50 39.601 22.12 0.03 20.12 0.03 19.84 0.03 0.43594 0.00033
J122656.8+215010 12 26 56.898 +21 50 10.941 23.01 0.03 22.00 0.03 22.07 0.03 0.43656 0.00010
J122657.4+214931 12 26 57.418 +21 49 31.609 23.60 0.03 21.59 0.03 21.34 0.03 0.43603 0.00038
J122658.6+214950 12 26 58.693 +21 49 50.952 22.58 0.03 20.54 0.03 20.25 0.03 0.44071 0.00075
J122648.1+215253 12 26 48.153 +21 52 53.415 22.07 0.03 20.03 0.03 19.68 0.03 0.43040 0.00060
J122648.4+215322 12 26 48.453 +21 53 22.110 21.84 0.03 19.79 0.03 19.48 0.03 0.43280 0.00060
J122649.3+215319 12 26 49.321 +21 53 19.844 22.89 0.03 20.82 0.03 20.53 0.03 0.43150 0.00060
J122651.1+215111 12 26 51.182 +21 51 11.359 21.52 0.03 19.97 0.03 19.71 0.03 0.43300 0.00060
J122650.4+215253 12 26 50.490 +21 52 53.991 23.00 0.03 20.87 0.03 20.55 0.03 0.44070 0.00060
J122650.9+215226 12 26 50.991 +21 52 26.635 22.13 0.03 20.79 0.03 20.79 0.03 0.43210 0.00060
J122651.7+215224 12 26 51.749 +21 52 24.974 20.88 0.03 18.73 0.03 18.41 0.03 0.43750 0.00060
J122652.3+215144 12 26 52.313 +21 51 44.874 22.35 0.03 20.28 0.03 19.99 0.03 0.43880 0.00060
J122652.9+215231 12 26 52.921 +21 52 31.456 21.75 0.03 19.58 0.03 19.30 0.03 0.43380 0.00060
J122654.5+215235 12 26 54.595 +21 52 35.672 23.00 0.03 20.82 0.03 20.48 0.03 0.43840 0.00060
J122650.9+215228 12 26 50.914 +21 52 28.064 22.64 0.03 20.39 0.03 20.10 0.03 0.43750 0.00060
J122651.5+214855 12 26 51.522 +21 48 55.265 22.61 0.03 21.05 0.03 20.86 0.03 0.43990 0.00060
J122650.9+214955 12 26 50.940 +21 49 55.745 21.92 0.03 20.13 0.03 19.75 0.03 0.43850 0.00060
J122651.7+214942 12 26 51.735 +21 49 42.568 22.81 0.03 20.50 0.03 20.16 0.03 0.43260 0.00060
