# myra_match mydec_match nedra_match neddec_match ned_z bpz_z bpz_odds d2d_pix d2d_arcsec
186.6808560723718 21.873539842262588 186.6809375 21.873664722222223 0.4368 0.43 1.0 2.627330935430988 0.5254661870861976
186.68031629153228 21.878357526578473 186.68038749999997 21.878498055555557 0.4007 0.41 1.0 2.7952170072412206 0.5590434014482442
186.6798044811069 21.883392845681666 186.67984166666665 21.883571666666665 0.4249 0.49 1.0 3.2781561319893346 0.655631226397867
186.68288897885498 21.870395242229556 186.6829833333333 21.870525277777777 0.432 0.45 1.0 2.8218486144234145 0.5643697228846829
186.68655645886815 21.869189406809046 186.68666249999998 21.869310277777778 0.4319 0.53 1.0 2.805594529884743 0.5611189059769486
186.68803707064822 21.880318748890957 186.68812499999999 21.880453055555556 0.4279 0.43 1.0 2.8286968261291134 0.5657393652258227
186.6925443852331 21.856881214062362 186.69264166666665 21.85700027777778 0.4346 0.45 1.0 2.6896709665008847 0.537934193300177
186.6912700977241 21.896024695262568 186.69132916666666 21.896194444444443 0.4339 0.46 1.0 3.2108024384387015 0.6421604876877404
186.69984957183974 21.84954002474227 186.69994999999997 21.849641666666667 0.4375 0.43 1.0 2.4824274244818807 0.4964854848963762
186.69476024616378 21.87953517613497 186.6948708333333 21.87964638888889 0.4385 0.45 1.0 2.723861144997849 0.5447722289995699
186.6978022531766 21.868528708070855 186.69790833333332 21.86862 0.4333 0.41 1.0 2.4166948710732137 0.4833389742146428
186.6962094820353 21.885950560649533 186.69630416666664 21.88607222222222 0.4386 0.45 1.0 2.701259557839462 0.5402519115678924
186.7017061123235 21.85877639295556 186.7018125 21.85887138888889 0.4328 0.46 1.0 2.466301177954965 0.493260235590993
186.69648780382983 21.89384976915718 186.69656249999997 21.89400861111111 0.4473 0.38 1.0 3.1194821266463584 0.6238964253292717
186.70230705425075 21.868555219815967 186.7024083333333 21.86864472222222 0.4326 0.43 1.0 2.3361896390003576 0.46723792780007156
186.70065165502558 21.88161269554034 186.7007583333333 21.88172527777778 0.4292 0.45 1.0 2.698458765495582 0.5396917530991164
186.7019000821518 21.88956375283349 186.702025 21.889692222222223 0.4328 0.44 1.0 3.1145678069896157 0.6229135613979232
186.70734731372002 21.857890670236834 186.70744166666665 21.857982777777778 0.4336 0.42 1.0 2.2876495938638133 0.4575299187727627
186.7100302005496 21.84845382191687 186.71011249999998 21.848544999999998 0.4303 0.49 1.0 2.141059371166919 0.4282118742333838
186.7082861074641 21.861793116267044 186.7083875 21.861890833333334 0.4272 0.52 1.0 2.4418771335972775 0.48837542671945555
186.71330052706156 21.853301398976793 186.71337916666664 21.853372500000003 0.4319 0.47 1.0 1.8341180871470089 0.3668236174294018
186.709514302872 21.882553315154897 186.709625 21.882701944444445 0.4392 0.51 1.0 3.2520942201226064 0.6504188440245213
186.71723890168525 21.849419685074594 186.71731666666665 21.84951583333333 0.4317 0.42 1.0 2.164065345472334 0.4328130690944669
186.7177553774214 21.846475026348354 186.71783333333332 21.8465575 0.4357 0.45 1.0 1.974879837407758 0.3949759674815516
186.7097026586721 21.895785066309898 186.70979166666663 21.8959275 0.4379 0.47 1.0 2.9636118083421104 0.5927223616684221
186.71328575461868 21.881309199363262 186.7133958333333 21.881389722222224 0.4363 0.44 1.0 2.341261231560842 0.46825224631216844
186.71269702846755 21.892906872991755 186.7128 21.89301861111111 0.4422 0.5 1.0 2.646326792718562 0.5292653585437125
186.71799192472508 21.862602709906295 186.71807916666666 21.862684166666668 0.4384 0.46 1.0 2.0673318815786383 0.4134663763157277
186.71886188826946 21.85945536736405 186.7189625 21.859546666666667 0.4332 0.45 1.0 2.350703521468798 0.47014070429375965
186.71849121225046 21.86710771019054 186.71858333333333 21.867178055555556 0.4439 0.71 1.0 1.9928461972338734 0.3985692394467747
186.71563627948288 21.89463648143694 186.7157458333333 21.89480222222222 0.4416 0.54 1.0 3.49974330494113 0.6999486609882261
186.72773222154566 21.861571312524283 186.72781249999997 21.8616525 0.4336 0.43 1.0 1.9834698731395095 0.3966939746279019
186.68086894479578 21.831324133415556 186.68092499999997 21.83141138888889 0.45892 0.44 1.0 1.828676413392399 0.3657352826784798
186.68323538338436 21.823041245670883 186.68330416666663 21.823085833333334 0.44086 0.41 1.0 1.4018516140415376 0.28037032280830754
186.68399604275916 21.838267652179074 186.68406666666667 21.8383675 0.45771 0.48 1.0 2.1500126126151713 0.4300025225230343
186.6880189529717 21.830325952765936 186.68807916666665 21.830413888888888 0.45823 0.44 1.0 1.875552597398057 0.3751105194796114
186.6871581550612 21.844356866198673 186.68724166666667 21.844461388888888 0.43877 0.44 1.0 2.342325793697059 0.4684651587394118
186.6893878411479 21.840269759842794 186.68945416666665 21.84033972222222 0.46981 0.46 1.0 1.6774782337802623 0.3354956467560525
186.69669777728996 21.819266614205954 186.69676249999998 21.819330277777777 0.43302 0.46 1.0 1.5757332148101395 0.31514664296202793
186.69624378018017 21.829996625675133 186.69632083333332 21.83009138888889 0.43329 0.43 1.0 2.1370999934066126 0.4274199986813225
186.69862097169266 21.83481532863497 186.6987 21.834913333333333 0.43739 0.44 1.0 2.2035435860199115 0.4407087172039823
186.70400903249913 21.81295521958385 186.7040708333333 21.81301888888889 0.44325 0.43 1.0 1.5427360123957012 0.30854720247914025
186.69993708638916 21.84596121240096 186.70001249999999 21.846061666666664 0.45976 0.48 1.0 2.2038626437044617 0.44077252874089234
186.70518608471207 21.827266171637557 186.70524583333332 21.827350555555554 0.44486 0.45 1.0 1.817646226292339 0.3635292452584678
186.70979471925764 21.805578675718294 186.7098375 21.80559527777778 0.43907 0.45 1.0 0.7748969672839234 0.1549793934567847
186.7086874234642 21.84157945106531 186.70877083333332 21.841672777777777 0.43826 0.46 1.0 2.1826880871348013 0.4365376174269603
186.71347529448633 21.819529204414803 186.7135333333333 21.81960861111111 0.45012 0.48 1.0 1.727303566929776 0.34546071338595524
186.70813598253724 21.85528201322974 186.7082208333333 21.855375277777778 0.43051 0.43 1.0 2.1971947584045877 0.43943895168091757
186.71776392070723 21.832253950346185 186.71783333333332 21.832361111111112 0.43471 0.43 1.0 2.250732984853903 0.45014659697078063
186.72208468161648 21.809410787361873 186.72215416666666 21.8094425 0.4343 0.46 1.0 1.2939286997796797 0.25878573995593596
186.72088779435396 21.821465412644955 186.72094583333333 21.82154472222222 0.43969 0.43 1.0 1.7258511502792897 0.34517023005585795
