# Mbpz_ra Mbpz_dec zspec_ra zspec_dec zspec_z Mbpz_z Mbpz_odds d2d_arcsec
186.6808560723718 21.873539842262588 186.6809375 21.873664722222223 0.4368 0.42 1.0 0.5254661870861976
186.68031629153228 21.878357526578473 186.68038749999997 21.878498055555557 0.4007 0.41 1.0 0.5590434014482442
186.6798044811069 21.883392845681666 186.67984166666665 21.883571666666665 0.4249 0.49 1.0 0.655631226397867
186.68288897885498 21.870395242229556 186.6829833333333 21.870525277777777 0.432 0.45 1.0 0.5643697228846829
186.68655645886815 21.869189406809046 186.68666249999998 21.869310277777778 0.4319 0.53 1.0 0.5611189059769487
186.68803707064822 21.880318748890957 186.68812499999999 21.880453055555556 0.4279 0.43 1.0 0.5657393650492852
186.6925443852331 21.856881214062362 186.69264166666665 21.85700027777778 0.4346 0.45 1.0 0.537934193300177
186.6912700977241 21.896024695262568 186.69132916666666 21.896194444444443 0.4339 0.46 1.0 0.6421604876877404
186.69984957183974 21.84954002474227 186.69994999999997 21.849641666666667 0.4375 0.43 1.0 0.4964854848963762
186.69476024616378 21.87953517613497 186.6948708333333 21.87964638888889 0.4385 0.45 1.0 0.5447722289995699
186.6978022531766 21.868528708070855 186.69790833333332 21.86862 0.4333 0.41 1.0 0.48333897421464267
186.6962094820353 21.885950560649533 186.69630416666664 21.88607222222222 0.4386 0.45 1.0 0.5402519115678924
186.7017061123235 21.85877639295556 186.7018125 21.85887138888889 0.4328 0.46 1.0 0.493260235590993
186.69648780382983 21.89384976915718 186.69656249999997 21.89400861111111 0.4473 0.38 1.0 0.6238964253292716
186.70230705425075 21.868555219815967 186.7024083333333 21.86864472222222 0.4326 0.43 1.0 0.46723792780007156
186.70065165502558 21.88161269554034 186.7007583333333 21.88172527777778 0.4292 0.45 1.0 0.5396917530991164
186.7019000821518 21.88956375283349 186.702025 21.889692222222223 0.4328 0.44 1.0 0.6229135613979232
186.70734731372002 21.857890670236834 186.70744166666665 21.857982777777778 0.4336 0.42 1.0 0.45752991878106086
186.7100302005496 21.84845382191687 186.71011249999998 21.848544999999998 0.4303 0.49 1.0 0.4282118742333838
