name             ra            dec            g     gerr r     rerr i     ierr z       zerr
J122710.2+220136 12h27m10.224s +22d01m36.552s 21.82 0.03 20.14 0.03 19.67 0.03 0.65382 0.00050
J122710.4+214126 12h27m10.445s +21d41m26.218s 20.95 0.03 20.27 0.03 20.85 0.03 0.76027 0.00050
J122711.4+214737 12h27m11.474s +21d47m37.169s 20.93 0.03 19.23 0.03 18.92 0.03 -0.00020 0.00050
J122712.2+220237 12h27m12.250s +22d02m37.514s 17.65 0.03 18.03 0.03 17.71 0.03 0.00002 0.00050
J122716.2+215001 12h27m16.212s +21d50m01.943s 21.02 0.03 20.04 0.03 20.05 0.03 0.72646 0.00050
J122719.5+215109 12h27m19.567s +21d51m09.227s 22.41 0.03 20.36 0.03 19.82 0.03 0.56736 0.00050
J122723.6+215528 12h27m23.698s +21d55m28.578s 20.34 0.03 18.42 0.03 18.20 0.03 0.31538 0.00050
J122724.9+214844 12h27m24.998s +21d48m44.557s 19.22 0.03 18.02 0.03 16.84 0.03 -0.00002 0.00050
J122728.0+214626 12h27m28.090s +21d46m26.821s 20.95 0.03 18.84 0.03 18.52 0.03 0.43410 0.00050
J122730.4+220142 12h27m30.478s +22d01m42.661s 20.20 0.03 18.34 0.03 18.10 0.03 0.32243 0.00050
J122730.8+215807 12h27m30.898s +21d58m07.565s 20.56 0.03 19.23 0.03 19.10 0.03 0.16072 0.00050
J122737.8+214416 12h27m37.838s +21d44m16.757s 22.51 0.03 20.29 0.03 19.78 0.03 0.58560 0.00050
J122739.9+220610 12h27m39.907s +22d06m10.552s 21.94 0.03 21.51 0.03 21.80 0.03 2.59212 0.00050
J122740.5+215424 12h27m40.558s +21d54m24.455s 21.68 0.03 19.30 0.03 19.00 0.03 0.46118 0.00050
J122740.6+220438 12h27m40.666s +22d04m38.957s 18.14 0.03 17.44 0.03 17.47 0.03 0.03209 0.00050
J122740.8+215059 12h27m40.858s +21d50m59.204s 21.10 0.03 20.51 0.03 20.54 0.03 0.00032 0.00050
J122741.5+215741 12h27m41.542s +21d57m41.436s 21.48 0.03 19.32 0.03 19.02 0.03 0.00000 0.00050
J122742.0+220234 12h27m42.048s +22d02m34.559s 20.59 0.03 19.20 0.03 19.05 0.03 0.16054 0.00050
J122743.6+215540 12h27m43.637s +21d55m40.174s 19.41 0.03 19.31 0.03 19.43 0.03 2.48004 0.00050
J122749.1+220618 12h27m49.140s +22d06m18.320s 17.81 0.03 17.11 0.03 17.13 0.03 0.06637 0.00050
J122749.4+215519 12h27m49.445s +21d55m19.625s 21.71 0.03 19.45 0.03 18.99 0.03 0.45879 0.00050
J122750.5+220623 12h27m50.530s +22d06m23.674s 18.19 0.03 20.62 0.03 17.96 0.03 0.69473 0.00050
J122752.2+220425 12h27m52.229s +22d04m25.957s 18.25 0.03 17.64 0.03 17.38 0.03 0.06581 0.00050
J122752.3+214015 12h27m52.313s +21d40m15.460s 22.12 0.03 21.87 0.03 21.90 0.03 2.33051 0.00050
J122758.1+214541 12h27m58.138s +21d45m41.767s 22.37 0.03 20.11 0.03 19.73 0.03 0.54461 0.00050
J122759.9+215918 12h27m59.942s +21d59m18.784s 21.43 0.03 19.13 0.03 18.58 0.03 0.57298 0.00050
