name             ra            dec            g     gerr r     rerr i     ierr z       zerr
J122653.3+214909 12h26m53.335s +21d49m09.211s 23.41 0.03 21.36 0.03 21.08 0.03 0.44070 0.00023
J122653.0+215001 12h26m53.013s +21d50m01.609s 23.77 0.04 21.73 0.03 21.42 0.03 0.44504 0.00036
J122654.4+214900 12h26m54.430s +21d49m00.559s 22.67 0.03 20.45 0.03 20.13 0.03 0.43568 0.00088
J122655.0+214933 12h26m55.001s +21d49m33.347s 22.29 0.03 20.11 0.03 19.79 0.03 0.43313 0.00072
J122655.8+214906 12h26m55.851s +21d49m06.039s 23.79 0.03 21.70 0.03 21.44 0.03 0.43230 0.00041
J122656.0+214934 12h26m56.096s +21d49m34.191s 22.34 0.03 20.35 0.03 20.05 0.03 0.43858 0.00018
J122655.6+215021 12h26m55.649s +21d50m21.721s 22.38 0.03 20.40 0.03 20.16 0.03 0.43661 0.00055
J122655.6+215106 12h26m55.649s +21d51m06.229s 23.04 0.03 21.10 0.03 20.86 0.03 0.43678 0.00015
J122656.8+214934 12h26m56.884s +21d49m34.562s 23.53 0.03 21.42 0.03 21.11 0.03 0.43152 0.00021
J122656.2+215039 12h26m56.290s +21d50m39.601s 22.12 0.03 20.12 0.03 19.84 0.03 0.43594 0.00033
J122656.8+215010 12h26m56.898s +21d50m10.941s 23.01 0.03 22.00 0.03 22.07 0.03 0.43656 0.00010
J122657.4+214931 12h26m57.418s +21d49m31.609s 23.60 0.03 21.59 0.03 21.34 0.03 0.43603 0.00038
J122658.6+214950 12h26m58.693s +21d49m50.952s 22.58 0.03 20.54 0.03 20.25 0.03 0.44071 0.00075
J122648.1+215253 12h26m48.153s +21d52m53.415s 22.07 0.03 20.03 0.03 19.68 0.03 0.43040 0.00060
J122648.4+215322 12h26m48.453s +21d53m22.110s 21.84 0.03 19.79 0.03 19.48 0.03 0.43280 0.00060
J122649.3+215319 12h26m49.321s +21d53m19.844s 22.89 0.03 20.82 0.03 20.53 0.03 0.43150 0.00060
J122651.1+215111 12h26m51.182s +21d51m11.359s 21.52 0.03 19.97 0.03 19.71 0.03 0.43300 0.00060
J122650.4+215253 12h26m50.490s +21d52m53.991s 23.00 0.03 20.87 0.03 20.55 0.03 0.44070 0.00060
J122650.9+215226 12h26m50.991s +21d52m26.635s 22.13 0.03 20.79 0.03 20.79 0.03 0.43210 0.00060
J122651.7+215224 12h26m51.749s +21d52m24.974s 20.88 0.03 18.73 0.03 18.41 0.03 0.43750 0.00060
J122652.3+215144 12h26m52.313s +21d51m44.874s 22.35 0.03 20.28 0.03 19.99 0.03 0.43880 0.00060
J122652.9+215231 12h26m52.921s +21d52m31.456s 21.75 0.03 19.58 0.03 19.30 0.03 0.43380 0.00060
J122654.5+215235 12h26m54.595s +21d52m35.672s 23.00 0.03 20.82 0.03 20.48 0.03 0.43840 0.00060
J122650.9+215228 12h26m50.914s +21d52m28.064s 22.64 0.03 20.39 0.03 20.10 0.03 0.43750 0.00060
J122651.5+214855 12h26m51.522s +21d48m55.265s 22.61 0.03 21.05 0.03 20.86 0.03 0.43990 0.00060
J122650.9+214955 12h26m50.940s +21d49m55.745s 21.92 0.03 20.13 0.03 19.75 0.03 0.43850 0.00060
J122651.7+214942 12h26m51.735s +21d49m42.568s 22.81 0.03 20.50 0.03 20.16 0.03 0.43260 0.00060
J122652.2+214952 12h26m52.277s +21d49m52.003s 23.36 0.03 21.14 0.03 20.88 0.03 0.43480 0.00060
J122648.0+215022 12h26m48.069s +21d50m22.325s 22.61 0.03 20.46 0.03 20.19 0.03 0.43390 0.00060
J122649.0+214959 12h26m49.080s +21d49m59.528s 22.85 0.03 20.80 0.03 20.54 0.03 0.43100 0.00060
J122649.5+215006 12h26m49.534s +21d50m06.519s 22.48 0.03 20.51 0.03 20.27 0.03 0.43620 0.00060
