# myra_match mydec_match nedra_match neddec_match ned_z bpz_z bpz_odds d2d_pix d2d_arcsec
186.71227661278277 21.832136669206697 186.7120833333333 21.83222222222222 0.4385 0.48 1.0 3.577870201275102 0.7155740402550204
186.71299987952494 21.83118852135814 186.71291666666664 21.83111111111111 0.422 0.45 0.99645 1.968442929040773 0.39368858580815463
186.715576840789 21.828492988375217 186.71541666666664 21.828611111111112 0.4326 0.44 1.0 3.4181815177753427 0.6836363035550685
186.71782724218698 21.83111777624441 186.71791666666664 21.83111111111111 0.4348 0.44 1.0 1.499012342548059 0.29980246850961184
186.70657602129398 21.83532583168367 186.70666666666665 21.835277777777776 0.4362 0.52 1.0 1.7441512850037115 0.3488302570007423
186.70490723144061 21.833979590042613 186.70499999999998 21.833888888888886 0.434 0.44 1.0 2.2512451425482194 0.4502490285096439
186.7045172947938 21.833197440773326 186.7045833333333 21.833333333333332 0.431 0.44 1.0 2.6834295850638217 0.5366859170127644
186.7086874234642 21.84157945106531 186.70874999999998 21.841666666666665 0.4395 0.46 1.0 1.886171004450358 0.3772342008900716
186.70027937774523 21.83952557853881 186.70041666666665 21.839444444444442 0.4339 0.44 1.0 2.719286313657853 0.5438572627315706
186.7177553774214 21.846475026348354 186.71749999999997 21.84638888888889 0.4362 0.45 1.0 4.539655038842831 0.9079310077685662
186.71467775813502 21.815444816267963 186.7145833333333 21.815555555555555 0.4399 0.51 1.0 2.54226798592387 0.508453597184774
186.72674186553087 21.816759806942915 186.72666666666663 21.816666666666666 0.4352 0.46 1.0 2.0951997162061464 0.4190399432412293
186.71330052706156 21.853301398976793 186.71333333333334 21.853333333333335 0.433 0.47 1.0 0.7942331534608251 0.15884663069216504
186.7398744689349 21.830475149305595 186.73999999999998 21.830555555555556 0.4336 0.43 1.0 2.54839355729484 0.509678711458968
186.71799192472508 21.862602709906295 186.71791666666664 21.8625 0.4388 0.46 1.0 2.2357504948279785 0.4471500989655957
186.71373886989045 21.87227237877397 186.71374999999998 21.872222222222224 2.9233 0.24 1.0 0.9217628386388679 0.1843525677277736
186.71535432256923 21.873724161494575 186.71541666666664 21.87361111111111 0.4375 0.47 0.90129 2.2859066095818483 0.45718132191636973
186.71247998529725 21.87412998068698 186.71249999999998 21.874166666666667 0.4321 0.46 1.0 0.7401578702756964 0.14803157405513928
186.71217542383528 21.874591572740183 186.7120833333333 21.874444444444446 0.4375 0.48 1.0 3.0626552668272145 0.6125310533654429
186.72054082228425 21.875540288324473 186.72041666666664 21.875555555555557 0.4338 0.44 1.0 2.0920133350053103 0.41840266700106205
186.72727663230694 21.87672636716142 186.7275 21.87666666666667 0.4384 0.5 1.0 3.8827543283075676 0.7765508656615135
186.71039095532473 21.88178885081107 186.71041666666667 21.881666666666668 0.4407 0.43 1.0 2.2408529373569914 0.4481705874713983
186.70065165502558 21.88161269554034 186.70041666666665 21.881666666666668 0.4304 0.45 1.0 4.043495581967422 0.8086991163934844
186.70552666915646 21.88892871082737 186.70541666666665 21.88888888888889 0.4315 0.45 1.0 1.972173241216509 0.3944346482433018
186.7019000821518 21.88956375283349 186.70166666666663 21.889444444444443 0.4328 0.44 1.0 4.450936247457737 0.8901872494915475
186.6440268526015 21.8324599191071 186.64374999999998 21.8325 0.128312 0.13 1.0 4.681838040831791 0.9363676081663582
186.6616797956691 21.889643403250407 186.66166666666663 21.889722222222222 0.437 0.46 1.0 1.435588001041523 0.2871176002083046
186.76446592530283 21.894139552439356 186.7645833333333 21.894166666666667 0.374 0.39 1.0 2.020742095564838 0.40414841911296767
186.6075856549824 21.924232118159807 186.6075 21.924166666666668 0.406 0.43 1.0 1.8530243186590445 0.3706048637318089
186.73093413157866 21.67766842849769 186.73083333333332 21.67777777777778 0.211802 0.28 0.677 2.5917015238579535 0.5183403047715908
186.53445378144477 21.86226699828555 186.5345833333333 21.862222222222222 0.186682 0.3 0.86062 2.3094282006297275 0.4618856401259456
186.48142330556172 21.76591125179267 186.48124999999996 21.765833333333333 0.068692 0.07 0.83325 3.2187407357931255 0.6437481471586252
186.71120713931415 22.06793058924558 186.71124999999998 22.068055555555556 0.073498 0.08 1.0 2.3602872956374346 0.472057459127487
186.839021776261 22.04016335793611 186.83874999999995 22.040277777777778 0.416 0.47 1.0 4.980281006767979 0.9960562013535957
186.87704682732453 22.02851116948702 186.8770833333333 22.02861111111111 0.345 0.49 1.0 1.8992805444730936 0.37985610889461874
