BASE            FILTER  SEEING  RATE_BBCR  TOTAL_BBCR  EXPTIME  RMS    ERASED  TOTAL  CRonSTAR  FT400_new  LastStretch  SS_removed
SUPA0118297_1   W-C-IC  1.33    1.26       227         180      37.60  0       241    14        0          5            3
SUPA0118297_10  W-C-IC  1.33    1.27       228         180      37.60  0       230    2         0          1            4
SUPA0118297_2   W-C-IC  1.33    1.53       275         180      36.05  0       286    11        0          4            7
SUPA0118297_3   W-C-IC  1.33    1.21       217         180      35.99  0       222    5         0          2            1
SUPA0118297_4   W-C-IC  1.33    1.36       244         180      35.94  0       255    11        0          6            2
SUPA0118297_5   W-C-IC  1.33    1.37       246         180      37.43  0       247    1         0          7            3
SUPA0118297_6   W-C-IC  1.33    1.32       237         180      37.92  0       239    2         0          9            4
SUPA0118297_7   W-C-IC  1.33    1.37       247         180      36.27  0       250    3         1          5            4
SUPA0118297_8   W-C-IC  1.33    1.29       233         180      35.99  0       244    11        0          6            2
SUPA0118297_9   W-C-IC  1.33    1.33       239         180      36.20  0       248    9         0          2            3
SUPA0118300_1   W-C-IC  1.23    1.62       291         180      36.87  0       302    11        0          5            5
SUPA0118300_10  W-C-IC  1.23    1.47       264         180      36.87  0       266    2         0          3            9
SUPA0118300_2   W-C-IC  1.23    1.71       307         180      35.32  0       314    7         2          8            4
SUPA0118300_3   W-C-IC  1.23    1.51       272         180      35.25  0       280    8         0          5            3
SUPA0118300_4   W-C-IC  1.23    1.22       220         180      35.28  0       232    12        0          9            1
SUPA0118300_5   W-C-IC  1.23    1.25       225         180      36.73  0       227    2         0          5            3
SUPA0118300_6   W-C-IC  1.23    1.44       260         180      37.18  0       262    2         3          8            3
SUPA0118300_7   W-C-IC  1.23    1.35       243         180      35.58  0       245    2         1          5            3
SUPA0118300_8   W-C-IC  1.23    1.31       235         180      35.30  0       245    10        0          4            3
SUPA0118300_9   W-C-IC  1.23    1.49       268         180      35.52  0       277    9         1          12           7
SUPA0118301_1   W-C-IC  1.14    1.23       222         180      36.17  0       222    0         1          5            1
SUPA0118301_10  W-C-IC  1.14    1.23       221         180      36.17  0       221    0         2          1            3
SUPA0118301_2   W-C-IC  1.14    1.21       217         180      35.40  0       224    7         0          2            5
SUPA0118301_3   W-C-IC  1.14    1.39       251         180      35.15  0       256    5         1          8            5
SUPA0118301_4   W-C-IC  1.14    1.41       254         180      35.00  0       258    4         0          8            3
SUPA0118301_5   W-C-IC  1.14    1.53       275         180      36.49  0       282    7         1          7            4
SUPA0118301_6   W-C-IC  1.14    1.54       278         180      37.57  0       283    5         0          3            0
SUPA0118301_7   W-C-IC  1.14    1.31       235         180      35.65  0       238    3         0          6            3
SUPA0118301_8   W-C-IC  1.14    1.16       209         180      35.09  0       216    7         2          5            1
SUPA0118301_9   W-C-IC  1.14    1.32       237         180      34.63  0       243    6         0          7            2
SUPA0118302_1   W-C-IC  1.14    1.41       253         180      36.13  0       254    1         1          4            5
SUPA0118302_10  W-C-IC  1.14    1.42       256         180      36.13  0       258    2         1          8            1
SUPA0118302_2   W-C-IC  1.14    1.49       268         180      35.49  0       274    6         0          8            3
SUPA0118302_3   W-C-IC  1.14    1.25       225         180      35.25  0       230    5         1          4            1
SUPA0118302_4   W-C-IC  1.14    1.37       247         180      35.10  0       249    2         0          1            1
SUPA0118302_5   W-C-IC  1.14    1.33       240         180      36.30  0       247    7         0          5            3
SUPA0118302_6   W-C-IC  1.14    1.27       229         180      37.69  0       235    6         0          2            0
SUPA0118302_7   W-C-IC  1.14    1.29       233         180      35.69  0       237    4         0          6            1
SUPA0118302_8   W-C-IC  1.14    1.27       229         180      35.12  0       235    6         0          5            2
SUPA0118302_9   W-C-IC  1.14    1.33       240         180      34.73  0       248    8         0          9            6
SUPA0118303_1   W-C-IC  1.08    1.26       226         180      36.29  0       237    11        0          5            5
SUPA0118303_10  W-C-IC  1.08    1.23       221         180      36.29  0       223    2         0          2            4
SUPA0118303_2   W-C-IC  1.08    1.31       235         180      34.80  0       244    9         1          3            2
SUPA0118303_3   W-C-IC  1.08    1.37       246         180      34.65  0       254    8         1          6            5
SUPA0118303_4   W-C-IC  1.08    1.18       212         180      34.71  0       221    9         0          2            0
SUPA0118303_5   W-C-IC  1.08    1.51       271         180      36.06  0       275    4         1          7            1
SUPA0118303_6   W-C-IC  1.08    1.51       271         180      36.52  0       272    1         1          8            1
SUPA0118303_7   W-C-IC  1.08    1.49       268         180      35.08  0       271    3         2          4            4
