FILE            	FILTER            	DATE-OBS  	EXPTIME	
792998p_10C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_11C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_12C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_13C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_14C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_15C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_16C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_17C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_18C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_19C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_1C.fits 	g.MP9401          	2005-05-09	450.04 	
792998p_20C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_21C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_22C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_23C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_24C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_25C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_26C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_27C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_28C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_29C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_2C.fits 	g.MP9401          	2005-05-09	450.04 	
792998p_30C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_31C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_32C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_33C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_34C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_35C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_36C.fits	g.MP9401          	2005-05-09	450.04 	
792998p_3C.fits 	g.MP9401          	2005-05-09	450.04 	
792998p_4C.fits 	g.MP9401          	2005-05-09	450.04 	
792998p_5C.fits 	g.MP9401          	2005-05-09	450.04 	
792998p_6C.fits 	g.MP9401          	2005-05-09	450.04 	
792998p_7C.fits 	g.MP9401          	2005-05-09	450.04 	
792998p_8C.fits 	g.MP9401          	2005-05-09	450.04 	
792998p_9C.fits 	g.MP9401          	2005-05-09	450.04 	
792999p_10C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_11C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_12C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_13C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_14C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_15C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_16C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_17C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_18C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_19C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_1C.fits 	g.MP9401          	2005-05-09	450.05 	
792999p_20C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_21C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_22C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_23C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_24C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_25C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_26C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_27C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_28C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_29C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_2C.fits 	g.MP9401          	2005-05-09	450.05 	
792999p_30C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_31C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_32C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_33C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_34C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_35C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_36C.fits	g.MP9401          	2005-05-09	450.05 	
792999p_3C.fits 	g.MP9401          	2005-05-09	450.05 	
792999p_4C.fits 	g.MP9401          	2005-05-09	450.05 	
792999p_5C.fits 	g.MP9401          	2005-05-09	450.05 	
792999p_6C.fits 	g.MP9401          	2005-05-09	450.05 	
792999p_7C.fits 	g.MP9401          	2005-05-09	450.05 	
792999p_8C.fits 	g.MP9401          	2005-05-09	450.05 	
792999p_9C.fits 	g.MP9401          	2005-05-09	450.05 	
793249p_10C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_11C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_12C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_13C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_14C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_15C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_16C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_17C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_18C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_19C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_1C.fits 	g.MP9401          	2005-05-11	450.06 	
793249p_20C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_21C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_22C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_23C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_24C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_25C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_26C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_27C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_28C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_29C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_2C.fits 	g.MP9401          	2005-05-11	450.06 	
793249p_30C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_31C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_32C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_33C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_34C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_35C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_36C.fits	g.MP9401          	2005-05-11	450.06 	
793249p_3C.fits 	g.MP9401          	2005-05-11	450.06 	
793249p_4C.fits 	g.MP9401          	2005-05-11	450.06 	
793249p_5C.fits 	g.MP9401          	2005-05-11	450.06 	
793249p_6C.fits 	g.MP9401          	2005-05-11	450.06 	
793249p_7C.fits 	g.MP9401          	2005-05-11	450.06 	
793249p_8C.fits 	g.MP9401          	2005-05-11	450.06 	
793249p_9C.fits 	g.MP9401          	2005-05-11	450.06 	
793250p_10C.fits	g.MP9401          	2005-05-11	450.06 	
793250p_11C.fits	g.MP9401          	2005-05-11	450.06 	
793250p_12C.fits	g.MP9401          	2005-05-11	450.06 	
793250p_13C.fits	g.MP9401          	2005-05-11	450.06 	
793250p_14C.fits	g.MP9401          	2005-05-11	450.06 	
793250p_15C.fits	g.MP9401          	2005-05-11	450.06 	
793250p_16C.fits	g.MP9401          	2005-05-11	450.06 	
793250p_17C.fits	g.MP9401          	2005-05-11	450.06 	
793250p_18C.fits	g.MP9401          	2005-05-11	450.06 	
793250p_19C.fits	g.MP9401          	2005-05-11	450.06 	
793250p_1C.fits 	g.MP9401          	2005-05-11	450.06 	
793250p_20C.fits	g.MP9401          	2005-05-11	450.06 	
793250p_21C.fits	g.MP9401          	2005-05-11	450.06 	
793250p_22C.fits	g.MP9401          	2005-05-11	450.06 	
793250p_23C.fits	g.MP9401          	2005-05-11	450.06 	
