BASE            FILTER  SEEING  RATE_BBCR  TOTAL_BBCR  EXPTIME  RMS    ERASED  TOTAL  CRonSTAR  FT400_new  LastStretch  SS_removed
SUPA0118322_1   W-J-B   0.69    1.29       232         180      12.62  0       235    3         0          5            3
SUPA0118322_10  W-J-B   0.69    1.29       232         180      12.62  0       232    0         0          4            4
SUPA0118322_2   W-J-B   0.69    1.37       247         180      12.51  0       248    1         0          4            3
SUPA0118322_3   W-J-B   0.69    1.24       223         180      12.40  0       225    2         0          6            4
SUPA0118322_4   W-J-B   0.69    1.29       233         180      12.53  0       233    0         0          7            6
SUPA0118322_5   W-J-B   0.69    1.24       224         180      13.14  0       228    4         0          3            1
SUPA0118322_6   W-J-B   0.69    1.36       245         180      13.05  0       250    5         0          8            3
SUPA0118322_7   W-J-B   0.69    1.76       316         180      12.50  0       318    2         0          6            2
SUPA0118322_8   W-J-B   0.69    1.39       251         180      12.26  0       257    6         0          7            2
SUPA0118322_9   W-J-B   0.69    1.28       230         180      12.14  0       231    1         0          9            7
SUPA0118323_1   W-J-B   0.66    1.02       183         180      12.63  0       186    3         1          2            6
SUPA0118323_10  W-J-B   0.66    1.15       207         180      12.63  0       207    0         0          3            3
SUPA0118323_2   W-J-B   0.66    1.48       267         180      12.55  0       270    3         0          7            0
SUPA0118323_3   W-J-B   0.66    1.11       200         180      12.45  0       200    0         0          4            5
SUPA0118323_4   W-J-B   0.66    1.09       196         180      12.47  0       201    5         0          3            3
SUPA0118323_5   W-J-B   0.66    1.28       231         180      12.91  0       235    4         0          3            5
SUPA0118323_6   W-J-B   0.66    1.33       240         180      13.09  1       240    0         0          3            6
SUPA0118323_7   W-J-B   0.66    1.19       214         180      12.48  0       216    2         0          3            5
SUPA0118323_8   W-J-B   0.66    1.07       193         180      12.37  0       197    4         0          9            4
SUPA0118323_9   W-J-B   0.66    1.27       228         180      12.31  0       232    4         0          2            7
