#files                                                                                          rms      seeing              dt                  ft
/gpfs/slac/kipac/fs1/u/awright/SUBARU//Zw2701/W-C-RC_2015-12-15/SCIENCE/SUPA0154700_10OCF.fits  10.8891  0.8470756425857544  321.4223397709637   41.3257293991239
/gpfs/slac/kipac/fs1/u/awright/SUBARU//Zw2701/W-C-RC_2015-12-15/SCIENCE/SUPA0154700_1OCF.fits   11.0404  0.8470756425857544  317.017499365965    40.75939277562407
/gpfs/slac/kipac/fs1/u/awright/SUBARU//Zw2701/W-C-RC_2015-12-15/SCIENCE/SUPA0154700_2OCF.fits   10.4652  0.8470756425857544  334.4417689102932   42.99965600275198
/gpfs/slac/kipac/fs1/u/awright/SUBARU//Zw2701/W-C-RC_2015-12-15/SCIENCE/SUPA0154700_3OCF.fits   10.3959  0.8470756425857544  336.6711876797584   43.286295558826076
/gpfs/slac/kipac/fs1/u/awright/SUBARU//Zw2701/W-C-RC_2015-12-15/SCIENCE/SUPA0154700_4OCF.fits   10.4574  0.8470756425857544  334.6912234398608   43.0317287279821
/gpfs/slac/kipac/fs1/u/awright/SUBARU//Zw2701/W-C-RC_2015-12-15/SCIENCE/SUPA0154700_5OCF.fits   10.8694  0.8470756425857544  322.004894474396    41.4006292895652
/gpfs/slac/kipac/fs1/u/awright/SUBARU//Zw2701/W-C-RC_2015-12-15/SCIENCE/SUPA0154700_6OCF.fits   10.9441  0.8470756425857544  319.8070193072066   41.11804533949799
/gpfs/slac/kipac/fs1/u/awright/SUBARU//Zw2701/W-C-RC_2015-12-15/SCIENCE/SUPA0154700_7OCF.fits   10.4954  0.8470756425857544  333.4794290832174   42.87592659641367
/gpfs/slac/kipac/fs1/u/awright/SUBARU//Zw2701/W-C-RC_2015-12-15/SCIENCE/SUPA0154700_8OCF.fits   10.4849  0.8470756425857544  333.8133887781476   42.918864271476124
/gpfs/slac/kipac/fs1/u/awright/SUBARU//Zw2701/W-C-RC_2015-12-15/SCIENCE/SUPA0154700_9OCF.fits   10.4784  0.8470756425857544  334.0204611391052   42.9454878607421
/gpfs/slac/kipac/fs1/u/awright/SUBARU//Zw2701/W-C-RC_2015-12-15/SCIENCE/SUPA0154701_10OCF.fits  27.0383  0.7021954791545868  129.446008070034    16.64305818043294
/gpfs/slac/kipac/fs1/u/awright/SUBARU//Zw2701/W-C-RC_2015-12-15/SCIENCE/SUPA0154701_1OCF.fits   27.2802  0.7021954791545868  128.29817963211414  16.495480238414675
