FILE            	DOTHIS                                	TOTHIS        	
SUPA0139743.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139744.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139747.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139748.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139749.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139750.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139751.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139752.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139753.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139754.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139755.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139756.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139804.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139805.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139806.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139809.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139810.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139811.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139812.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139813.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139814.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139815.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139848.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139849.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139850.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139851.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139852.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139853.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139854.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139855.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139856.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139857.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0140002.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0140003.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0140004.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0140005.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0140006.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0140007.fits	SUPERFLAT_2013-06-09-2013-06-11_W-S-Z+	Abell2744_2013	
SUPA0139824.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139825.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139826.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139827.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139828.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139829.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139830.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139831.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139832.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139833.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139834.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139835.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139836.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139837.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139838.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139839.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139840.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139841.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139842.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139843.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139844.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139845.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139846.fits	SUPERFLAT_2013-06-10_W-C-RC           	Abell2744_2013	
SUPA0139817.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0139818.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0139819.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0139820.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0139821.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0139822.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0139858.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0139859.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0139860.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0139861.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0139862.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0139863.fits	SUPERFLAT_2013-02-06_2013-06-10_W-J-B 	Abell2744_2013	
SUPA0142073.fits	FLAT                                  	Abell2744_2013	
SUPA0142074.fits	FLAT                                  	Abell2744_2013	
SUPA0142075.fits	FLAT                                  	Abell2744_2013	
SUPA0142076.fits	FLAT                                  	Abell2744_2013	
